Comment,Cleaned_Text
"Hai wak! Untuk 2 minggu kedepan aku bakal upload #KisahHorrorWawak dulu yaa… email KHW udah masuk sampai 15ribuuu🥹🥹 kasian numpuk terus.. bonus deh minggu ini jadi 4 video oke. #nanadberbaikhati ❤️ 
Selamat menonton!",hai wak minggu depan upload kisah horror wawak email masuk ribuuu kasi numpuk bonus deh minggu video nanadberbaikhati selamat tonton
Nama anak ku kak tiara,nama anak ku kak tiara
43:44  anaknya the real anak setan 😭,anak the real anak setan
Gk kebayang klo jadi  suaminya host.. ampyuuun deh  bawelnya😂😂,bayang kalo suami host ampun deh bawel
Ni cerita kalo dijadiin wattpad atau novel atau film seru banget pasti njirr kek kebayang lagi di dunia fantasi gimana gitu😭,cerita kalo dijadiin wattpad novel film seru banget njirr bayang dunia fantasi gimana
"Gak tau benar /halu ya ,,tpi klo benar jatuhnya murahan gak sih 😅😅",tau halu kalo jatuh murah
"Gak tau benar apa tidak ,,klo benar jatuhnya murahan gak sih 😅",tau kalo jatuh murah
kok si tiara mau ya ngelahirin anak jin?  kasian suaminya kalo sampe dia tau anak kembarnya tuh hasil berhubungan sama jin wkwk,si tiara ngelahirin anak jin kasi suami kalo sampe tau anak kembar hasil hubung jin wkwk
Aku lupa udah nonton ini atau blm ya? Kayak udah tapi blom rasanya,lupa nonton
"Sy pernah ketemu cowo gaib sm supirnya di thn 2016 dia bawa uang asli penuh 2 peti tapi kakinya nanjak di dasar mobil artinya bisa berwujud manusia, syarat nya sy nikah  sm dia layani dia kalau dia ke Indonesia kerajaannya katanya disingaura krn dia Melayu cina, tapi herannya selama bicara kutatap tapi dia bisa mengeluarkan mutiara  dari mulutnya dan katanya mutiara itu bisa ngobati penyakit apapun,  langsung ku tolak mutiara itu krn pikirku mungkin itu sulap, wallahu alam",ketemu cowo gaib supirnya bawa uang asli penuh peti kaki nanjak dasar mobil wujud manusia syarat nikah layan indonesia raja disingaura melayu cina heran bicara tatap keluar mutiara mulut mutiara ngobati sakit apa langsung ku tolak mutiara pikir sulap wallahu alam
"Aku jg prnh mimpi bertemu laki² ganteng,bhkan siang hr pun pas aku tidur itu laki² dlm mimpi serasa nyata..dia memegang tnganku,tp klo buat HB gk prnh..dia mencium tp dgn hidungny cuma berhendus gtu aja,ya tp dlm mimpi itu aku menikmati..serasa di sayang aja gtu,kepalaku di pegang..tngan d.elus gtu,pkokny itu laki² dlm mimpi ganteng bgt..aku tau itu Jin psti..jd aku cuma rukyah sndri baca Ayat kursi & 3 qul..wkt SMP aku teringat guru agama bilang..klo kita mimpi laki² ganteng fix itu ada jin yg suka kita..",mimpi temu laki ganteng bahkan siang pas tidur laki mimpi serasa nyatadia pegang tngankutp kalo hb prnhdia cium hidungny berhendus ajaya mimpi menikmatiserasa sayang gtukepalaku pegangtngan dus gtupkokny laki mimpi ganteng bgtaku tau jin pstijd rukyah baca ayat kursi qulwkt smp guru agama bilangklo mimpi laki ganteng fix jin suka
Keren banget aku juga mau mimpi. Kaya gini 😅😊,keren banget mimpi gin
"Kita berbeda, tapi ini bukan mangu 😂",beda mangu
Antara bahagia dan sedih jd Tiara yakkk🥹🥹,bahagia sedih tiara yakkk
Siapa yang nntn di thun 2025😭 critanya kak tiara epic banget jdi kek mna crita dia skrg kak klo bleh tau 😢,nonton critanya kak tiara seru banget mna cerita kak kalo bleh tau
"Apa si Tyara gak pernah ikut kajian kajian dalam agamanya? Sadar gak sih kalau sebenarnya tipu daya jin setan itu nyata, apalagi menyatu memiliki hubungan. Aslinya sadar ini wew.... Tapi memilih melanjutkan 2 hubungan, kalau di dunia lagi ada something dg suaminya dia bisa lari ke dunia mimpi yang dirasa bisa buat nyaman dia.
Sadarrrr yaa.... Semoga Tyara suatu saat bisa lepas, dan merelakan.
Di ruqyah apapun kalau hatinya Tyara belum bisa rela, dia tidak akan lepas dg sendirinya.",si tyara kaji kaji agama sadar tipu daya jin setan nyata satu milik hubung asli sadar wew pilih lanjut hubung dunia dg suami lari dunia mimpi rasa nyaman sadarrrr moga tyara lepas rela ruqyah apa hati tyara rela lepas dg
berasa gantung ceritanyaa😅,asa gantung ceritanyaa
Dari banyaknya cerita aku paling paling suka cerita ini,banyak cerita suka cerita
Allah hualam,allah hualam
3 kali Nonton 3 kali merinding 😭,kali nonton kali merinding
"Kok klen aneh kali? Malah menganggap cerita ini _wholesome,_ bagus, dsb.

Jelas si Tiara masuknya selingkuh dengan makhluk lain. Kenapa responnya malah pada terpukau?? 

Apakah benar yang dibilang orang-orang? 
Cowok selingkuh = kurang ajar
Cewek slingkuh = gapapa 

Heh? Gimana sih klen?",aneh kali anggap cerita wholesome bagus si tiara masuk selingkuh makhluk responnya pukau bilang orang cowok selingkuh ajar cewek slingkuh gapapa gimana
"Ya ampun... Cerita serasa tdk nyata tp nyata bagi Tiara... 
Nadia bercerita dg sangat menghayati❤❤❤tks say❤",ampun cerita serasa nyata nyata tiara nadia cerita dg menghayatitks
aku juga mau punya kekasih ghoib 🥲,kasih ghoib
"Suka banget setiap Nadia cerita, kek aku berada di dalamnya",suka banget nadia cerita dalam
Jadi kasian sama suami aslinya😅,kasi suami asli
❤,
"Gila sih, ini masuknya udh selingkuh berat, kasian lakinya",gila masuk selingkuh berat kasi laki
10 Oktober 2025😂 maaf br no ton gimn kbr Tiara dn ank kmbrnya kak?,oktober maaf no ton kabar tiara dn anak kmbrnya kak
aku jadi jatuh cinta sma org yg d dlm mimpi tu 😂,jatuh cinta orang mimpi
ya kalo udah ngajak tidur ya pasti asli wujudnya genderewewooww ciri khasnya ya begitu. dan tabiatnya begitu.. lahaula .. yaa Allah lindungi lah kami,kalo ngajak tidur asli wujud genderuwo ciri khas tabiat lahaula allah lindung
TIDAK ADA PART 2 NYA KAH ?? SERUUU😭,seruuu
Adakah Yg nnton kembali Khw Teeerrrrrr Epic  Part ini d oct 2025?? Angkat tangan Guys ❤,ada nonton seru oct angkat tangan guys
Anak kembar itu nyata aa tidak yaaa🤔🤔,anak kembar nyata
Merinding terus pas di sken tiara di bwa itu aku denger nya merinding bulu kudu ku naik terus...,merinding pas sin tiara bawa denger merinding bulu kudu ku
siapa yang nonton ulang☝🏻,nonton ulang
Jin satu ini jatuh cinta ajah ga brni nyentuh lahhh manusia?,jin jatuh cinta berani nyentuh manusia
😂 sampe udh brp x nnton cerita ini gmn ya nasib tiara skrang penasaran bngt,sampe x nonton cerita gmn nasib tiara skrang penasaran banget
Nonton ini di 2025 👋🏻,nonton
Seru bgt crita hampir sama kyak mmpi ku tapi GK sbanyak it,seru banget cerita kyak mmpi ku sbanyak it
Aku nonton sambil nyuci ka nadd😂,nonton nyuci kakak nadd
"Penasaran wajah anak kembarnya , lumayan yaa mbak kalo pangerannya ganteng anaknya juga ganteng 😅",penasaran wajah anak kembar lumayan mbak kalo pangeran ganteng anak ganteng
"Sumpah pass aku dengar di tiktok, pikiranku kemana mana cok, kek gak abis pikir, ada sedih, marah, dan kecewa. Gini ya guys, emang kasihan juga pangerannya, tadi lebih kasihan suami di nyata, aku juga kecewa karena tiara gak bisa setia😕😞😞",sumpah pas dengar tiktok pikir mana cok abis pikir sedih marah kecewa gin guys emang kasihan pangeran kasihan suami nyata kecewa tiara setia
"Kayanya tiara dibutakan deh, rukiah gih tiara. Itu nggk bener kayanya",kaya tiara buta deh rukiah tiara nggk bener kaya
dasar,dasar
Mungkin banyak yang di ketahui dari nenek moyang sih cewek itu . Kisa legenda dari jaman dulu,tahu nenek moyang cewek legenda jaman
takut bgt ada anak yg butuh donor darah ternyata gasama sama ayahnya,takut banget anak butuh donor darah gasama ayah
Pandai kali bercerita kk nya,pandai kali cerita kakak
"aku kek djvu crita kek gini yaa mimpi yg terasa nyata,",cerita gin mimpi nyata
aku mikirnya cowo ganteng itu anime🗿,mikirnya cowo ganteng anime
"Cerita satu ini paling menarik sih, kaya seru banget omaygattt lopee❤",cerita tarik seru banget omaygattt lopee
sebagai pecinta fiksi aku suka banget khw yg skrg pliss jiwa menghalu ku meronta-ronta 😂😭,cinta fiksi suka banget tolong jiwa menghalu ku merontaronta
"Maman kembali
Saranku teh tiara dan suami juga anaknya mampirlah ke kediaman om. Hao
Begetu mba nad
😅😅😅😅😅😅😅😅",maman saran teh tiara suami anak mampir diam om hao begetu mba nad
Terpesona sama laki yang di mimpi berulang ulang kali,pesona laki mimpi ulang ulang kali
Merinding kalii wakk😭,merinding kali wakk
"Seperti tetangga ku, kata orang orang sih tetangga ku punya istri di dunia lain, makannya mpe sekarang dia jd bujang lapuk",tetangga ku orang orang tetangga ku istri dunia makan mpe bujang lapuk
"gamungkin kalo jin dapat bersetubuh dg manusia apalagi sampe hamil. gangerti juga gimana bisa sampe hamil dan anaknya mirip. tapi apa mungkin setiap tiara berhub. bdn sama suaminya, suaminya dirasuki cowo itu? kalo begitu berarti secara ga sadar, ga disamperin di mimpi, tiara udah menerima si cowo. jadi bs langsung hamil 3 bulan. biar si tiara dan keluarganya tau dia lg hamil, si cowo baru nyamperin, makanya disitu tiara tiba² terima. kayanya 3 bulan sebelum tiara mimpi itu perlu diinget-inget ada apa aja",gamungkin kalo jin tubuh dg manusia sampe hamil gangerti gimana sampe hamil anak tiara berhub bdn suami suami rasuk cowo kalo sadar disamperin mimpi tiara terima si cowo bs langsung hamil biar si tiara keluarga tau hamil si cowo nyamperin situ tiara terima kaya tiara mimpi diingetinget
plot twist kali waaak,plot twist kali waaak
Kadung menikmati jadi permaisuri ghoib jadi lupa utk rukyah diri sendiri. Ceritanya sih epic tapi jatuhnya malah kasian sama lakiknya. Mau dibilang ga selingkuh tpi kenyataanya begitu. Meskipun cuma di mimpi tpi mimpi itu udah beneran di dunia mereka loh. Beneran di case ini yang kasian tu lakiknya,kadung nikmat permaisuri ghoib lupa utk rukyah cerita seru jatuh kasi lakiknya bilang selingkuh kenyataanya mimpi mimpi beneran dunia loh beneran case kasi lakiknya
Harus join sama makhluk itu. Iya kalo beneran ganteng kalo aslinya gak ganteng kek mana?,join makhluk iya kalo beneran ganteng kalo asli ganteng
Kasian lakiknya di real life ga si😭😭,kasi lakiknya real life si
Jadi kaya cerita fiksi😭😭😭,cerita fiksi
Bagus  sekali cerita nya kk ❤ kayak film2,bagus cerita kakak film
Gw dengar di awal bulan oktober 2025 guys,gw dengar oktober guys
Terus kabar nya suaminya kak tiara gimana ya ? Setelah tau kalau anaknya itu mirip sama pangeran itu ? Pliisss bertanya tanya aku,kabar suami kak tiara gimana tau anak pangeran pliisss
Kak terus suaminya tau gak kalau itu bukan anak dia??,kak suami tau anak
"sebagai pembaca manhwa kerajaan, denger ini kaya wow, aku ngebayangin duara cowonya pas manggil ""permaisuri ku"" aaa",baca manhwa raja denger wow ngebayangin duara cowonya pas manggil permaisuri ku aaa
"Trimah kasih kak ceritanya serem ba get beda dari part yng lainnya walau anya dalam mimpi tapi terbawa sampe ke kehidupan nyata. Aku senen dengan cerita kak tiara aku jadi paham bahwa aku sering bertemu sama wanita cantik di dlm mimpi yanh tak aku kenal tpi dia baik banget dan romantiss🥰

Makasih kak nadia sdh mau membawakan cerita yng epic mantap semoga kak nadia diberi kesehatan dan kekuatan semga sehat sllu diberkati sllu kk dlm keluarganya
dan semga kita smua dilindungi oleh Allah Amin🙏😇",trimah kasih kak cerita rem ba get beda yng anya mimpi bawa sampe hidup nyata senen cerita kak tiara paham temu wanita cantik mimpi yanh kenal banget romantiss makasih kak nadia sdh bawa cerita yng seru mantap moga kak nadia sehat kuat semga sehat sllu kati sllu kakak keluarga semga smua lindung allah amin
kak cerita ini lagi dong seruuuu,kak cerita seruuuu
Permasalahan nya adalah tiara sudah membuka hatinya untuk lelaki itu. Makanya dia gak mau ruqyah.,masalah tiara buka hati lelaki ruqyah
Kakak seru banget ceritaya,kakak seru banget ceritaya
Kok aku mendengar cerita ini kaya dongeng ya. Dongeng romantis berbalut fantasi. Apakah Tiara baik2 saja? Tidak sedang berhalusinasi?,dengar cerita dongeng dongeng romantis balut fantasi tiara halusinasi
"Ceritanya hampir mirip di mimpiku juga😢
Sampek berhari hari gak berani tidur takut mimpi itu lagi",cerita mimpi sampek hari berani tidur takut mimpi
Pernah  ketindihan pas tidur trs ada laki² besar nunggu dlm ruangan nah posisi aku dipintu trs kaya ada apksaan suruh masuk trs nafsuuu aku mau masuk tapi aku sadar itu mimpi dan jin akhirnya aku istighfar dalam mimpi astaghfirullah alazim alhamdulillah aku langsung bangun.,tindih pas tidur laki nunggu ruang posisi pintu apksaan suruh masuk nafsuuu masuk sadar mimpi jin istighfar mimpi astaghfirullah alazim alhamdulillah langsung bangun
Ini sih bukan cerita horor tapi dongeng 😭,cerita horor dongeng
"Serrrrreeeeemmmmm,,,,",serrrrreeeeemmmmm
"Kurang lengkap kak endingnya. Kan dijelaskan anak kembar muka mirip pria dlm mimpi tapi kak tidak jelaskan bgmana tanggapan suaminya, apalagi suaminya juga tau pria itu krn sering mimpi juga dgn pria yg ada dlm mimpi Tiara",lengkap kak endingnya anak kembar muka pria mimpi kak bgmana tanggap suami suami tau pria mimpi pria mimpi tiara
"istighfar kalian yang baper, itu jin woi mau mukanya seganteng apapun yang namanya jin itu bisa berubah ubah bentuknya, buat kalian amit2 kalau ada yg ngalamin kaya gini mending ruqyah langsung jangan pake segala baper2 salting2 an",istighfar baper jin woi muka ganteng apa nama jin ubah ubah bentuk amit ngalamin gin mending ruqyah langsung pake baper salting an
Jadi teringat film Erika yg pengantin setan sm persis di bawa ke alamnya di hamilin Jin,film erika pengantin setan persis bawa alam hamilin jin
"Nauzubillah min dzalik….
Kami berlindung kepada - Mu yaaa Allah dari kejahatan mahluk- Mu. Amin…amin…Allahumma amin…",nauzubillah min dzalik lindung mu allah jahat mahluk mu aminaminallahumma amin
Wah epic bgt cerita ini,seru banget cerita
Jin effort ama manusia,jin effort ama manusia
"Kasihan sama suaminya Tiara,",kasihan suami tiara
Menurut ku ini si gak serem karna dunia lain itu memang ada ...,ku si rem karna dunia
"istighfar istighfar istighfar 

bisa jadi gangguan jin, bisa juga gangguan halusinasi bahkan delusi.",istighfar istighfar istighfar ganggu jin ganggu halusinasi delusi
"Luar biasaaa tiara,kmu wanita yg bruntung",biasaaa tiarakmu wanita bruntung
njir macam novel fantasi 😮,njir novel fantasi
